sex,sexage_rec,health_cond,educ,mjday30a,mjage,alctry,cigtry,smklsstry,oxcnnmage,mjmfu,poverty3,irfamin3,cig30use,mjever,age2,smklss30n
Female,Females Aged 12-17,Good,12-17yrsold,30,9,14,9,991,991,99,1,2,1,1,3,91
Female,Females Aged 12-17,Good,12-17yrsold,2,16,10,11,991,991,9,2,4,6,1,5,91
Female,Other,Good,Some coll/Assoc,1,14,13,13,991,993,99,3,7,3,1,13,91
Female,Other,Very Good,College grad,30,23,14,16,991,991,99,3,7,93,1,15,91
Male,Other,Very Good,Less HS,7,15,8,12,10,993,99,2,4,30,1,13,93
Male,Males Aged 18-25,Very Good,HS grad,25,18,19,18,991,993,99,2,2,27,1,11,91
Male,Males Aged 18-25,Good,Some coll/Assoc,27,18,18,18,991,991,99,3,7,93,1,9,91
Female,Other,Fair/Poor,Less HS,1,15,15,15,10,993,99,1,2,93,1,13,93
Female,Other,Good,College grad,28,17,21,24,991,991,99,3,6,93,1,13,91
Male,Males Aged 12-17,Very Good,12-17yrsold,5,13,10,15,991,991,99,2,4,1,1,4,91
Male,Other,Good,Some coll/Assoc,1,16,21,15,991,993,99,3,7,27,1,13,91
Female,Other,Good,HS grad,16,13,15,12,19,993,99,3,6,30,1,14,93
Female,Other,Very Good,Some coll/Assoc,28,17,15,14,991,991,99,3,6,93,1,15,91
Male,Other,Good,Some coll/Assoc,20,15,18,14,14,993,99,3,7,10,1,15,93
Male,Other,Very Good,Some coll/Assoc,15,16,16,16,991,991,99,3,7,93,1,15,91
Female,Other,Good,Some coll/Assoc,16,19,17,17,991,991,99,3,7,30,1,15,91
Male,Other,Good,HS grad,30,12,10,5,12,993,99,2,4,30,1,15,93
Male,Males Aged 18-25,Good,College grad,1,18,15,19,18,991,99,3,7,93,1,12,93
Male,Other,Excellent,HS grad,3,18,14,17,22,993,99,2,3,1,1,14,93
Male,Other,Fair/Poor,Some coll/Assoc,20,16,14,12,991,991,99,3,7,93,1,14,91
Male,Other,Excellent,College grad,3,17,17,19,19,991,99,3,7,93,1,15,93
Female,Other,Excellent,College grad,7,16,17,16,991,991,99,2,4,93,1,16,91
Female,Other,Very Good,Less HS,6,13,13,13,991,991,99,1,2,30,1,14,91
Male,Other,Very Good,College grad,3,8,10,10,11,991,99,3,7,93,1,15,93
Male,Other,Excellent,Less HS,30,16,18,15,991,991,99,1,1,1,1,13,91
Female,Other,Good,Some coll/Assoc,15,38,13,13,991,991,99,3,7,93,1,16,91
Male,Other,Good,Some coll/Assoc,26,17,17,17,991,993,99,3,6,93,1,15,91
Male,Other,Good,College grad,29,17,12,16,16,993,99,3,6,5,1,15,93
Female,Other,Good,Some coll/Assoc,20,17,16,15,15,993,99,3,7,30,1,15,93
Female,Females Aged 18-25,Very Good,Some coll/Assoc,4,17,19,20,991,991,99,2,4,4,1,10,91
Male,Males Aged 18-25,Good,HS grad,1,18,16,20,991,991,99,3,7,1,1,9,91
Male,Males Aged 18-25,Excellent,HS grad,18,18,20,18,991,991,99,2,2,30,1,11,91
Male,Males Aged 18-25,Good,Some coll/Assoc,30,14,14,14,991,991,99,3,7,1,1,12,91
Male,Other,Very Good,College grad,8,16,16,14,18,991,99,3,7,93,1,16,93
Female,Females Aged 18-25,Very Good,Less HS,30,12,14,12,991,993,99,1,1,30,1,11,91
Male,Males Aged 18-25,Fair/Poor,Less HS,3,17,16,17,991,991,99,1,2,5,1,10,91
Female,Other,Good,Some coll/Assoc,30,16,15,17,991,993,99,2,2,30,1,14,91
Female,Females Aged 12-17,Good,12-17yrsold,5,15,13,14,991,991,7,2,3,93,1,5,91
Male,Males Aged 18-25,Very Good,Some coll/Assoc,4,14,16,15,15,991,99,2,2,4,1,11,93
Female,Other,Good,Some coll/Assoc,1,15,19,11,991,991,99,3,6,30,1,15,91
Female,Other,Good,Some coll/Assoc,1,17,20,18,991,991,99,3,4,1,1,15,91
Male,Other,Very Good,College grad,5,18,18,18,21,991,99,3,7,93,1,14,93
Male,Other,Very Good,College grad,20,23,16,15,991,991,99,1,1,93,1,16,91
Male,Other,Fair/Poor,Some coll/Assoc,2,15,12,10,17,991,99,3,4,93,1,16,93
Male,Males Aged 18-25,Very Good,Less HS,28,12,15,7,15,991,99,1,1,30,1,11,93
Male,Other,Excellent,College grad,25,21,17,17,16,991,99,3,6,93,1,13,93
Male,Males Aged 18-25,Good,College grad,5,17,16,18,21,991,99,3,6,93,1,12,93
Male,Males Aged 18-25,Good,Some coll/Assoc,27,15,15,15,12,17,99,3,5,93,1,10,93
Male,Other,Very Good,Some coll/Assoc,8,18,19,24,991,991,99,3,6,93,1,15,91
Male,Males Aged 18-25,Excellent,College grad,4,18,15,16,991,991,99,3,6,93,1,12,91
Male,Other,Good,Some coll/Assoc,30,19,16,17,19,993,99,3,6,30,1,14,3
Male,Other,Very Good,HS grad,30,18,15,15,991,991,99,2,2,30,1,15,91
Female,Females Aged 18-25,Very Good,Some coll/Assoc,20,13,13,17,991,991,99,3,7,93,1,12,91
Female,Other,Good,College grad,30,15,14,15,16,991,99,2,2,93,1,15,93
Female,Females Aged 18-25,Very Good,HS grad,25,13,15,16,991,17,99,2,5,30,1,12,91
Male,Males Aged 18-25,Very Good,Some coll/Assoc,26,17,NA,18,991,991,99,2,2,93,1,9,91
Male,Males Aged 18-25,Good,Less HS,25,16,15,9,16,993,99,1,2,30,1,12,93
Male,Other,Good,Some coll/Assoc,3,16,15,15,991,38,99,1,2,30,1,15,91
Female,Females Aged 18-25,Excellent,Less HS,30,18,16,17,991,991,9,1,1,19,1,7,91
Female,Females Aged 18-25,Excellent,HS grad,30,15,14,16,991,993,99,1,2,93,1,12,91
Female,Other,Good,College grad,25,15,NA,17,991,991,99,2,3,93,1,13,91
Male,Other,Fair/Poor,Some coll/Assoc,30,21,32,16,991,991,99,3,6,93,1,15,91
Female,Females Aged 12-17,Good,12-17yrsold,30,12,13,12,991,991,99,3,5,10,1,3,91
Female,Females Aged 18-25,Very Good,Some coll/Assoc,3,15,15,17,991,991,99,1,3,93,1,12,91
Male,Males Aged 18-25,Good,Less HS,30,15,17,18,991,991,99,3,6,3,1,8,91
Male,Males Aged 18-25,Very Good,HS grad,25,14,21,16,991,991,99,3,5,6,1,12,91
Male,Males Aged 18-25,Good,Less HS,30,11,11,11,991,993,99,3,6,30,1,11,91
Female,Other,Good,HS grad,30,16,21,16,991,991,99,1,1,30,1,13,91
Male,Other,Good,College grad,15,15,13,12,991,993,99,3,7,93,1,16,91
Male,Males Aged 18-25,Very Good,HS grad,30,13,13,15,991,993,99,1,3,25,1,7,91
Male,Other,Good,Less HS,5,10,13,9,991,991,99,2,5,30,1,15,91
Female,Other,Good,Some coll/Assoc,1,13,16,17,991,991,99,2,6,30,1,15,91
Male,Other,Very Good,Less HS,29,16,17,16,991,993,99,1,3,4,1,14,91
Male,Other,Good,HS grad,15,19,22,28,991,991,99,1,2,93,1,15,91
Female,Other,Good,HS grad,30,18,16,18,991,991,99,2,2,30,1,15,91
Male,Males Aged 12-17,Fair/Poor,12-17yrsold,4,13,13,15,10,991,99,2,2,13,1,5,93
Male,Other,Very Good,College grad,8,23,19,23,20,991,99,3,7,3,1,15,93
Female,Other,Very Good,HS grad,30,17,14,13,35,991,99,1,2,30,1,15,93
Female,Other,Fair/Poor,Less HS,20,16,18,16,991,991,99,1,4,30,1,13,91
Female,Other,Good,College grad,8,18,17,18,991,991,99,3,7,93,1,14,91
Male,Males Aged 18-25,Good,Some coll/Assoc,25,18,19,19,991,991,99,3,6,93,1,9,91
Female,Other,Good,Some coll/Assoc,18,16,18,16,991,993,99,3,7,30,1,16,91
Male,Males Aged 18-25,Good,Less HS,30,15,14,15,991,993,99,2,5,30,1,11,91
Female,Other,Very Good,Some coll/Assoc,25,28,17,22,991,991,99,3,5,93,1,14,91
Female,Other,Excellent,Less HS,7,15,16,12,991,991,99,1,1,30,1,15,91
Male,Males Aged 18-25,Very Good,Some coll/Assoc,6,16,16,17,17,991,99,3,6,93,1,10,93
Male,Other,Very Good,Some coll/Assoc,30,5,7,5,991,991,99,1,1,30,1,15,91
Female,Other,Fair/Poor,Less HS,10,12,11,12,991,993,99,2,4,30,1,15,91
Male,Other,Good,Some coll/Assoc,20,11,9,12,16,991,99,3,7,30,1,15,93
Male,Other,Fair/Poor,Less HS,15,16,16,16,991,991,99,2,2,30,1,15,91
Female,Females Aged 18-25,Very Good,Some coll/Assoc,10,16,16,17,20,991,99,NA,1,93,1,9,1
Female,Females Aged 12-17,Very Good,12-17yrsold,4,14,14,14,991,991,99,2,4,93,1,5,91
Female,Females Aged 18-25,Very Good,College grad,10,15,15,15,991,991,99,3,7,93,1,12,91
Female,Females Aged 18-25,Good,Less HS,6,16,15,13,991,991,99,1,1,30,1,10,91
Male,Other,Excellent,Some coll/Assoc,30,23,18,20,21,991,99,3,6,30,1,13,93
Female,Other,Good,Some coll/Assoc,30,18,16,13,25,991,99,2,4,30,1,13,93
Female,Other,Very Good,College grad,30,17,16,13,991,993,99,3,7,93,1,15,91
Male,Males Aged 18-25,Fair/Poor,HS grad,6,12,10,11,991,998,99,2,4,30,1,8,91
Female,Other,Good,HS grad,25,15,15,13,991,993,99,2,5,30,1,14,91
Male,Males Aged 12-17,Excellent,12-17yrsold,4,13,12,13,991,991,99,3,5,1,1,5,91
Male,Males Aged 18-25,Good,Some coll/Assoc,20,15,14,15,15,991,99,1,1,15,1,11,29
Female,Females Aged 18-25,Very Good,HS grad,10,18,19,17,991,991,99,3,5,1,1,12,91
Male,Males Aged 18-25,Very Good,Some coll/Assoc,15,16,14,16,18,993,99,3,7,3,1,11,93
Male,Males Aged 18-25,Good,HS grad,30,14,17,16,991,993,99,2,3,30,1,11,91
Male,Males Aged 18-25,Good,Some coll/Assoc,1,20,12,20,991,991,2,2,2,1,1,9,91
Female,Other,Very Good,Less HS,15,20,20,19,991,991,99,1,1,93,1,16,91
Female,Other,Very Good,College grad,30,10,21,14,14,991,99,3,7,29,1,15,18
Female,Females Aged 18-25,Excellent,College grad,10,18,18,18,991,993,99,1,1,93,1,12,91
Male,Males Aged 18-25,Good,HS grad,2,18,21,19,991,991,99,3,4,93,1,12,91
Male,Males Aged 18-25,Excellent,College grad,28,15,16,18,20,993,99,2,3,2,1,12,93
Male,Males Aged 18-25,Good,Some coll/Assoc,30,16,15,16,14,991,99,3,7,93,1,10,93
Male,Males Aged 18-25,Good,Some coll/Assoc,14,17,15,16,991,991,99,1,1,93,1,9,91
Male,Other,Very Good,HS grad,28,17,16,21,991,991,99,3,7,93,1,16,91
